TEMPORADA;AÑO;JORNADA;EQUIPO LOCAL;EQUIPO VISITANTE;RESULTADO
2021-2022;2021;01.;CD Alavés;Real Madrid CF;1-4
2021-2022;2021;02.;Levante UD;Real Madrid CF;3-3
2021-2022;2021;03.;Real Betis Balompié;Real Madrid CF;0-1
2021-2022;2021;04.;Real Madrid CF;RC Celta;5-2
2021-2022;2021;05.;Valencia CF;Real Madrid CF;1-2
2021-2022;2021;06.;Real Madrid CF;RCD Mallorca;6-1
2021-2022;2021;07.;Real Madrid CF;Villarreal CF;0-0
2021-2022;2021;08.;RCD Espanyol;Real Madrid CF;2-1
2021-2022;2021;09.;Real Madrid CF;Athletic Club de Bilbao;1-0
2021-2022;2021;10.;FC Barcelona;Real Madrid CF;1-2
2021-2022;2021;11.;Real Madrid CF;CA Osasuna;0-0
2021-2022;2021;12.;Elche CF;Real Madrid CF;1-2
2021-2022;2021;13.;Real Madrid CF;Rayo Vallecano;2-1
2021-2022;2021;14.;Granada CF;Real Madrid CF;1-4
2021-2022;2021;15.;Real Madrid CF;Sevilla FC;2-1
2021-2022;2021;16.;Real Sociedad de Fútbol;Real Madrid CF;0-2
2021-2022;2021;17.;Real Madrid CF;Club Atlético de Madrid;2-0
2021-2022;2021;18.;Real Madrid CF;Cádiz CF;0-0
2021-2022;2022;19.;Getafe CF;Real Madrid CF;1-0
2021-2022;2022;20.;Real Madrid CF;Valencia CF;4-1
2021-2022;2022;21.;Athletic Club de Bilbao;Real Madrid CF;1-2
2021-2022;2022;22.;Real Madrid CF;Elche CF;2-2
2021-2022;2022;23.;Real Madrid CF;Granada CF;1-0
2021-2022;2022;24.;Villarreal CF;Real Madrid CF;0-0
2021-2022;2022;25.;Real Madrid CF;CD Alavés;3-0
2021-2022;2022;26.;Rayo Vallecano;Real Madrid CF;0-1
2021-2022;2022;27.;Real Madrid CF;Real Sociedad de Fútbol;4-1
2021-2022;2022;28.;RCD Mallorca;Real Madrid CF;0-3
2021-2022;2022;29.;Real Madrid CF;FC Barcelona;0-4
2021-2022;2022;30.;RC Celta;Real Madrid CF;1-2
2021-2022;2022;31.;Real Madrid CF;Getafe CF;2-0
2021-2022;2022;32.;Sevilla FC;Real Madrid CF;2-3
2021-2022;2022;33.;CA Osasuna;Real Madrid CF;1-3
2021-2022;2022;34.;Real Madrid CF;RCD Espanyol;4-0
2021-2022;2022;35.;Club Atlético de Madrid;Real Madrid CF;1-0
2021-2022;2022;36.;Real Madrid CF;Levante UD;6-0
2021-2022;2022;37.;Cádiz CF;Real Madrid CF;1-1
2021-2022;2022;38.;Real Madrid CF;Real Betis Balompié;0-0
2022-2023;2022;01.;UD Almería;Real Madrid CF;1-2
2022-2023;2022;02.;RC Celta;Real Madrid CF;1-4
2022-2023;2022;03.;RCD Espanyol;Real Madrid CF;1-3
2022-2023;2022;04.;Real Madrid CF;Real Betis Balompié;2-1
2022-2023;2022;05.;Real Madrid CF;RCD Mallorca;4-1
2022-2023;2022;06.;Club Atlético de Madrid;Real Madrid CF;1-2
2022-2023;2022;07.;Real Madrid CF;CA Osasuna;1-1
2022-2023;2022;08.;Getafe CF;Real Madrid CF;0-1
2022-2023;2022;09.;Real Madrid CF;FC Barcelona;3-1
2022-2023;2022;10.;Elche CF;Real Madrid CF;0-3
2022-2023;2022;11.;Real Madrid CF;Sevilla FC;3-1
2022-2023;2022;12.;Real Madrid CF;Girona FC;1-1
2022-2023;2022;13.;Rayo Vallecano;Real Madrid CF;3-2
2022-2023;2022;14.;Real Madrid CF;Cádiz CF;2-1
2022-2023;2022;15.;Real Valladolid CF;Real Madrid CF;0-2
2022-2023;2023;16.;Villarreal CF;Real Madrid CF;2-1
2022-2023;2023;17.;Real Madrid CF;Valencia CF;2-0
2022-2023;2023;18.;Athletic Club de Bilbao;Real Madrid CF;0-2
2022-2023;2023;19.;Real Madrid CF;Real Sociedad de Fútbol;0-0
2022-2023;2023;20.;RCD Mallorca;Real Madrid CF;1-0
2022-2023;2023;21.;Real Madrid CF;Elche CF;4-0
2022-2023;2023;22.;CA Osasuna;Real Madrid CF;0-2
2022-2023;2023;23.;Real Madrid CF;Club Atlético de Madrid;1-1
2022-2023;2023;24.;Real Betis Balompié;Real Madrid CF;0-0
2022-2023;2023;25.;Real Madrid CF;RCD Espanyol;3-1
2022-2023;2023;26.;FC Barcelona;Real Madrid CF;2-1
2022-2023;2023;27.;Real Madrid CF;Real Valladolid CF;6-0
2022-2023;2023;28.;Real Madrid CF;Villarreal CF;2-3
2022-2023;2023;29.;Cádiz CF;Real Madrid CF;0-2
2022-2023;2023;30.;Real Madrid CF;RC Celta;2-0
2022-2023;2023;31.;Girona FC;Real Madrid CF;4-2
2022-2023;2023;32.;Real Madrid CF;UD Almería;4-2
2022-2023;2023;33.;Real Sociedad de Fútbol;Real Madrid CF;2-0
2022-2023;2023;34.;Real Madrid CF;Getafe CF;1-0
2022-2023;2023;35.;Valencia CF;Real Madrid CF;1-0
2022-2023;2023;36.;Real Madrid CF;Rayo Vallecano;2-1
2022-2023;2023;37.;Sevilla FC;Real Madrid CF;1-2
2022-2023;2023;38.;Real Madrid CF;Athletic Club de Bilbao;1-1
2023-2024;2023;01.;Athletic Club de Bilbao;Real Madrid CF;0-2
2023-2024;2023;02.;UD Almería;Real Madrid CF;1-3
2023-2024;2023;03.;RC Celta;Real Madrid CF;0-1
2023-2024;2023;04.;Real Madrid CF;Getafe CF;2-1
2023-2024;2023;05.;Real Madrid CF;Real Sociedad de Fútbol;2-1
2023-2024;2023;06.;Club Atlético de Madrid;Real Madrid CF;3-1
2023-2024;2023;07.;Real Madrid CF;UD Las Palmas;2-0
2023-2024;2023;08.;Girona FC;Real Madrid CF;0-3
2023-2024;2023;09.;Real Madrid CF;CA Osasuna;4-0
2023-2024;2023;10.;Sevilla FC;Real Madrid CF;1-1
2023-2024;2023;11.;FC Barcelona;Real Madrid CF;1-2
2023-2024;2023;12.;Real Madrid CF;Rayo Vallecano;0-0
2023-2024;2023;13.;Real Madrid CF;Valencia CF;5-1
2023-2024;2023;14.;Cádiz CF;Real Madrid CF;0-3
2023-2024;2023;15.;Real Madrid CF;Granada CF;2-0
2023-2024;2023;16.;Real Betis Balompié;Real Madrid CF;1-1
2023-2024;2023;17.;Real Madrid CF;Villarreal CF;4-1
2023-2024;2023;18.;CD Alavés;Real Madrid CF;0-1
2023-2024;2024;19.;Real Madrid CF;RCD Mallorca;1-0
2023-2024;2024;20.;Getafe CF;Real Madrid CF;0-2
2023-2024;2024;21.;Real Madrid CF;UD Almería;3-2
2023-2024;2024;22.;UD Las Palmas;Real Madrid CF;1-2
2023-2024;2024;23.;Real Madrid CF;Club Atlético de Madrid;1-1
2023-2024;2024;24.;Real Madrid CF;Girona FC;4-0
2023-2024;2024;25.;Rayo Vallecano;Real Madrid CF;1-1
2023-2024;2024;26.;Real Madrid CF;Sevilla FC;1-0
2023-2024;2024;27.;Valencia CF;Real Madrid CF;2-2
2023-2024;2024;28.;Real Madrid CF;RC Celta;4-0
2023-2024;2024;29.;CA Osasuna;Real Madrid CF;2-4
2023-2024;2024;30.;Real Madrid CF;Athletic Club de Bilbao;2-0
2023-2024;2024;31.;RCD Mallorca;Real Madrid CF;0-1
2023-2024;2024;32.;Real Madrid CF;FC Barcelona;3-2
2023-2024;2024;33.;Real Sociedad de Fútbol;Real Madrid CF;0-1
2023-2024;2024;34.;Real Madrid CF;Cádiz CF;
2023-2024;2024;35.;Granada CF;Real Madrid CF;
2023-2024;2024;36.;Real Madrid CF;CD Alavés;
2023-2024;2024;37.;Villarreal CF;Real Madrid CF;
2023-2024;2024;38.;Real Madrid CF;Real Betis Balompié;
